prison_id,name,type,population,annual_change_wbgt_26,total_change_wbgt_26,annual_change_wbgt_30,total_change_wbgt_30
1,MIDLAND COUNTY CENTRAL DETENTION CENTER,COUNTY,438,0.3985829959514389,15.544736842106119,-0.006477732793522623,-0.2526315789473823
1021,MALHEUR COUNTY CORRECTIONAL FACILITY,COUNTY,104,0.1700404858299576,6.631578947368346,0,0
1023,ELKO COUNTY JAIL,COUNTY,96,0.022672064777326948,0.8842105263157509,0,0
1025,SEDGWICK COUNTY DETENTION FACILITY,COUNTY,1439,0.07206477732793476,2.8105263157894558,0.016194331983805665,0.6315789473684209
1029,LUCAS COUNTY HOLDING FACILITY,COUNTY,8,0.054858299595137015,2.1394736842103437,0.03987854251012141,1.5552631578947351
1031,LANCASTER COUNTY YOUTH INTERVENTION CENTER,COUNTY,41,0.02287449392711921,0.8921052631576492,-6.07287449392881e-4,-0.023684210526322358
1036,FREESTONE COUNTY JAIL,COUNTY,33,0.17125506072876617,6.6789473684218805,0.01578947368421093,0.6157894736842262
103,CACHE VALLEY YOUTH CENTER,STATE,7,0.03421052631578937,1.3342105263157855,0,0
1040,GRAY COUNTY JAIL,COUNTY,66,0.40850202429150945,15.931578947368868,0,0
1041,HUMBOLDT COUNTY DETENTION CENTER,COUNTY,46,0.07753036437246816,3.023684210526258,0,0
1046,HUMBOLDT COUNTY JUVENILE SERVICES,COUNTY,11,0.04999999999999872,1.94999999999995,0,0
104,SALT LAKE VALLEY DETENTION CENTER / GENESIS YOUTH CENTER,STATE,79,0.12834008097166028,5.005263157894751,0,0
1048,JACKSON COUNTY JAIL,COUNTY,10,-0.12773279352227374,-4.981578947368676,-8.097165991905073e-4,-0.03157894736842978
1049,BRUNSWICK WORK CENTER,STATE,172,0.09736842105262435,3.7973684210523495,-4.048582995956497e-4,-0.015789473684230337
1057,PAWNEE COUNTY JAIL,COUNTY,61,0.2917004048583116,11.376315789474154,0.12429149797571064,4.847368421052715
105,WEBER VALLEY YOUTH DETENTION CENTER,STATE,17,0.03178137651821829,1.2394736842105132,0,0
1060,METRO-DAVIDSON COUNTY DETENTION FACILITY,COUNTY,902,0.15647773279352115,6.1026315789473244,0.006477732793522041,0.2526315789473596
1061,HALIFAX CORRECTIONAL UNIT #23,STATE,247,-0.1364372469635722,-5.321052631579316,-0.009919028340081404,-0.38684210526317475
1063,CALHOUN WORK CAMP,STATE,283,0.29331983805670075,11.439473684211329,-0.059109311740894455,-2.305263157894884
1065,NAVAJO COUNTY JAIL,COUNTY,383,-0.01437246963563764,-0.560526315789868,0,0
106,ZAPATA REGIONAL JAIL,COUNTY,240,0.431174089068856,16.815789473685385,-0.0301619433198451,-1.1763157894739589
1071,COLES COUNTY JAIL,COUNTY,112,-0.18643724696357664,-7.271052631579489,-0.007692307692308649,-0.3000000000000373
107,LAWRENCE COUNTY JAIL,COUNTY,63,0.10384615384615233,4.04999999999994,-0.001619433198380868,-0.06315789473685385
1080,ALCONA COUNTY JAIL,COUNTY,27,-0.09534412955466141,-3.718421052631795,-0.0012145748987854935,-0.047368421052634245
1081,BREATHITT REGIONAL JUVENILE DETENTION CENTER,STATE,20,-0.22530364372470948,-8.78684210526367,-4.0485829959518066e-4,-0.015789473684212046
1083,LAMAR COUNTY JAIL,COUNTY,108,0.3327935222672314,12.978947368422025,0.028137651821861863,1.0973684210526127
1084,WASHOE COUNTY DETENTION FACILITY,COUNTY,1085,0.05263157894736876,2.0526315789473815,0,0
1085,WASHINGTON COUNTY JAIL,COUNTY,572,-0.004453441295548875,-0.17368421052640612,-0.0022267206477733846,-0.086842105263162
1086,COOS COUNTY JAIL,COUNTY,81,0.018825910931174385,0.7342105263158011,0,0
108,MCDONALD COUNTY JAIL,COUNTY,43,0.02246963562753186,0.8763157894737426,0.004048582995951371,0.15789473684210348
1093,DICKENS COUNTY JAIL,COUNTY,2,0.16174089068825945,6.307894736842118,-0.0014170040485830717,-0.055263157894739796
1094,FALLS COUNTY JAIL,COUNTY,86,0.3020242914980017,11.778947368422067,0.010526315789473212,0.41052631578945525
1098,WALTON CORRECTIONAL INSTITUTION,STATE,1238,0.36619433198382934,14.281578947369344,-0.00668016194332181,-0.2605263157895506
1099,QUINCY ANNEX,STATE,385,0.45344129554658075,17.684210526316647,0.0643724696356279,2.510526315789488
1101,TRAVIS COUNTY UNIT,STATE,1085,0.39716599190285823,15.489473684211472,0.020040485829959435,0.7815789473684179
1103,CARLIN CONSERVATION CAMP,STATE,111,0.08218623481781452,3.205263157894766,0,0
1106,HUMBOLDT CONSERVATION CAMP,STATE,122,0.07611336032388474,2.968421052631505,0,0
1107,MUSCATINE COUNTY JAIL,COUNTY,185,0.0105263157894669,0.41052631578920906,-0.010728744939273109,-0.41842105263165125
1108,OSCEOLA COUNTY JAIL,COUNTY,9,-0.02854251012146179,-1.1131578947370098,0.006072874493927224,0.2368421052631617
110,COSHOCTON COUNTY JAIL,COUNTY,58,-0.05222672064778002,-2.0368421052634207,-0.0038461538461540346,-0.15000000000000735
1112,JEAN CONSERVATION CAMP,STATE,184,0.22692307692306826,8.849999999999662,-0.0028340080971662645,-0.11052631578948431
1113,PIOCHE CONSERVATION CAMP,STATE,213,0.03522267206477737,1.3736842105263174,0,0
1115,PLYMOUTH COUNTY JAIL,COUNTY,33,-0.09493927125507146,-3.702631578947787,-0.0034412955465596157,-0.134210526315825
1116,STEWART CONSERVATION CAMP,STATE,357,0.023481781376517744,0.9157894736841921,0,0
1117,THREE LAKES VALLEY CONSERVATION & BOOT CAMP,STATE,330,-0.12186234817815465,-4.752631578948032,0,0
1118,FLORENCE MCCLURE WOMEN'S CORRECTIONAL CENTER,STATE,991,0.11072874493925924,4.318421052631111,-0.03299595141700706,-1.2868421052632755
1119,HIGH DESERT STATE PRISON,STATE,3669,-0.19898785425103244,-7.760526315790265,0,0
12,BATES COUNTY JAIL,COUNTY,26,0.07186234817813639,2.8026315789473193,0.009109311740891508,0.3552631578947688
1120,ELY STATE PRISON,STATE,1142,-6.072874493927589e-4,-0.023684210526317598,0,0
1121,NORTHERN NEVADA TRANSITIONAL HOUSING,STATE,104,0.11538461538461653,4.500000000000044,0,0
1123,ALAMANCE COUNTY DETENTION CENTER,COUNTY,349,-0.1923076923076999,-7.500000000000296,-0.011133603238866944,-0.4342105263158108
1129,SIOUX COUNTY JAIL,COUNTY,16,-0.08785425101215312,-3.4263157894739718,0.017408906882591238,0.6789473684210583
